excel_row,source_code,permalink
111,2000-S311-66,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0032?accountid=10598
112,2000-S311-67,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0033?accountid=10598
113,2000-S311-68,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-nar-0034?accountid=10598
114,2000-S311-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0070?accountid=10598
115,2000-S311-8,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-nar-0071?accountid=10598
116,2000-S321-1,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0020?accountid=10598
117,2000-S321-10,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0010?accountid=10598
118,2000-S321-11,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0011?accountid=10598
119,2000-S321-12,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0012?accountid=10598
120,2000-S321-13,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0013?accountid=10598
121,2000-S321-16,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0016?accountid=10598
122,2000-S321-17,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0017?accountid=10598
123,2000-S321-19,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0019?accountid=10598
124,2000-S321-2,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0021?accountid=10598
125,2000-S321-20,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-pwo-0001?accountid=10598
126,2000-S321-3,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0022?accountid=10598
127,2000-S321-5,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0024?accountid=10598
128,2000-S321-6,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0025?accountid=10598
129,2000-S321-7,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0026?accountid=10598
130,2000-S321-9,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-pwo-0028?accountid=10598
131,2000-S361-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-fns-0025?accountid=10598
132,2000-S381-15,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-for-0024?accountid=10598
133,2000-S381-33,
134,2000-S401-10,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-1999-sga-0016?accountid=10598
135,2000-S401-15,
136,2000-S401-32,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-sga-0012?accountid=10598
137,2000-S411-16,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-ias-0002?accountid=10598
138,2000-S411-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-ias-0004?accountid=10598
139,2000-S411-24,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-ias-0009?accountid=10598
140,2001-H181-22,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hap-0016?accountid=10598
141,2001-H181-23,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hap-0017?accountid=10598
142,2001-H181-25,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hap-0019?accountid=10598
143,2001-H181-26,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hap-0020?accountid=10598
144,2001-H271-14,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0058?accountid=10598
145,2001-H271-18,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0062?accountid=10598
146,2001-H271-24,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0069?accountid=10598
147,2001-H271-25,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2000-coh-0070?accountid=10598
148,2001-H361-10,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hec-0026?accountid=10598
149,2001-H361-11,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hec-0027?accountid=10598
150,2001-H361-2,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hec-0047?accountid=10598
151,2001-H361-50,https://congressional-proquest-com.proxy.lib.duke.edu/congressional/docview/t29.d30.hrg-2001-hec-0070?accountid=10598
